id,gender,age,workexp,nationality
1,1,30,1,1
2,2,25,1,2
3,1,27,1,1
4,2,33,2,1
5,1,25,1,2
6,1,30,2,1
7,2,36,2,1
8,2,27,2,1
9,2,31,2,1
10,2,28,2,1
11,2,28,1,1
12,2,27,2,1
13,2,26,1,1
14,1,24,1,1
15,1,26,1,1
16,2,32,1,1
17,1,32,1,1
18,2,32,2,1
19,2,26,2,1
20,2,28,2,1
21,1,27,2,1
22,1,28,1,1
23,2,29,2,1
24,2,25,1,1
25,2,33,2,1
26,2,30,2,1
27,2,27,2,1
28,1,28,2,2
29,2,31,1,1
30,1,31,1,1
31,1,29,2,2
32,1,29,2,2
33,2,29,2,1
34,2,31,2,1
35,2,28,2,2
36,2,25,1,1
37,1,29,2,1
38,1,35,2,1
39,1,27,1,1
40,1,31,1,1
41,2,26,1,1
42,2,28,1,1
43,2,25,1,1
44,2,31,2,1
45,2,28,1,1
46,1,26,1,2
47,2,29,1,1
48,2,34,2,1
49,2,26,1,1
50,2,35,1,1
51,2,28,1,1
52,2,35,1,1
53,2,28,2,2
54,2,27,1,1
55,2,28,1,1
56,2,31,2,1
57,1,26,1,1
58,2,30,1,1
59,2,27,1,1
60,1,28,1,1
61,1,30,1,1
62,2,28,2,1
63,2,37,2,1
64,2,28,2,1
65,2,27,2,2
66,1,28,1,1
67,2,29,1,1
68,2,37,1,1
69,2,28,1,1
70,2,27,1,1
