"id","gender","physics"
1,1,2
2,2,2
3,2,2
4,2,2
5,2,2
6,1,2
7,1,1
8,1,1
9,1,1
10,1,1
11,1,2
12,1,1
13,1,1
14,1,2
15,1,1
16,1,2
17,1,1
18,2,2
19,1,2
20,1,2
21,1,2
22,1,2
23,1,1
24,1,1
25,1,1
26,1,2
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,2
33,1,2
34,1,2
35,1,1
36,1,2
37,1,2
38,2,2
39,2,2
40,1,2
41,1,1
42,1,1
43,1,1
44,1,2
45,1,2
46,1,2
47,1,1
48,2,2
49,2,1
50,1,2
51,1,2
52,1,2
53,1,2
54,1,2
55,1,2
56,1,1
57,1,2
58,1,1
59,1,2
60,1,2
61,1,1
62,1,1
63,2,1
64,1,2
65,1,2
66,2,2
67,1,2
68,1,2
69,1,2
70,1,1
71,1,2
72,1,1
73,1,1
74,1,2
75,2,2
76,2,2
77,1,2
78,1,1
79,1,2
80,1,2
81,1,1
82,1,1
83,1,2
84,1,1
85,1,1
86,1,1
87,1,2
88,1,1
89,1,1
90,1,2
91,1,2
92,1,2
93,1,2
94,2,1
95,2,2
96,1,1
97,1,2
